timestamp           ,delta1                 ,delta2_5              ,delta5                ,ema               ,price
2025-03-13 22:45:02 ,-2.934685099999939     ,58.93087984000039     ,65.13615800000048     ,82032.71948522628 ,81095.805
2025-03-13 22:46:03 ,-3.424038869999947     ,52.405596380000134    ,63.868710200000464    ,82033.45674012824 ,81126.5
2025-03-13 22:47:02 ,-7.2437373999999295    ,48.95726624000014     ,66.93440056000043     ,82033.71164208902 ,81123.135
2025-03-13 22:48:02 ,-5.327114679999994     ,55.38146028000011     ,62.306882090000386    ,82033.11948522629 ,81105.19
2025-03-13 22:49:02 ,-14.989968850000025    ,40.349999680000366    ,54.096820350000826    ,82034.67634797138 ,81165.965
2025-03-13 22:50:02 ,-13.38275775000011     ,46.367826060000084    ,57.651267340000516    ,82034.96262248118 ,81158.415
2025-03-13 22:51:02 ,-17.813566810000168    ,-3.4590856499998495   ,49.09948615000076     ,82035.60968130472 ,81183.015
2025-03-13 22:52:02 ,5.324327439999649      ,20.68416832999975     ,74.37355123000066     ,82037.66458326549 ,81216.155
2025-03-13 22:53:03 ,-20.125866150000235    ,-5.425653239999917    ,49.5534100800005      ,82037.83321071648 ,81230.275
2025-03-13 22:54:03 ,-3.0192071800001656    ,7.423397550000061     ,62.46662640000045     ,82038.5939950302  ,81259.445
2025-03-13 22:55:02 ,-8.049442910000096     ,9.573809330000273     ,60.47543075000084     ,82037.68811267726 ,81229.19
2025-03-13 22:56:01 ,-12.507459469999958    ,5.57016663000033      ,57.97228131000105     ,82037.4920342459  ,81225.375
2025-03-13 22:57:02 ,-16.551556909999988    ,3.8268942300005335    ,53.410584820001304    ,82040.64105385373 ,81280.985
2025-03-13 22:58:02 ,-4.354310100000106     ,-0.6705837999998607   ,55.01445929000039     ,82041.32732836354 ,81317.475
2025-03-13 22:59:01 ,-5.168452550000012     ,10.929908630000256    ,61.33156787000053     ,82042.00183816746 ,81331.155
2025-03-13 23:00:02 ,-31.671040790000006    ,-6.581244290000086    ,41.23892836000073     ,82025.08233096702 ,81358.615
2025-03-13 23:01:02 ,-19.23574191000003     ,-3.6506820099999118   ,46.50390613000059     ,82023.50586037878 ,81315.365
2025-03-13 23:02:03 ,-11.576171619999968    ,3.737817960000399     ,54.460006330000795    ,82024.05880155525 ,81322.215
2025-03-13 23:03:02 ,-8.760416330000055     ,6.664032530000327     ,57.84356794000087     ,82024.12938979054 ,81318.545
2025-03-13 23:04:02 ,-9.307555740000112     ,4.496938650000345     ,56.75361159000124     ,82020.71370351604 ,81296.555
2025-03-13 23:05:02 ,-14.993968030000076    ,-1.9581221799999184   ,48.069460230000686    ,82022.66272312388 ,81302.7
2025-03-13 23:06:02 ,3.2079441300000155     ,15.647761060000391    ,65.43494015000061     ,82022.88233096701 ,81291.645
2025-03-13 23:07:02 ,-6.782433549999837     ,1.2598888299997952    ,46.52585918000045     ,82026.17644861407 ,81355.87
2025-03-13 23:08:02 ,131.37530191000013     ,140.7286065099986     ,186.0828166399989     ,82027.43135057486 ,81400.875
2025-03-13 23:09:02 ,136.82575992000022     ,146.59378919999912    ,192.5920729799994     ,82026.71370351604 ,81369.59
2025-03-13 23:10:01 ,132.30740548000028     ,138.52045831999942    ,182.8008053099997     ,82028.29801724153 ,81427.315
2025-03-13 23:11:02 ,128.5990910000002      ,138.9991735799989     ,183.41155546999914    ,82025.57644861408 ,81352.465
2025-03-13 23:12:02 ,141.23003489000027     ,152.50508158999867    ,195.79818213999948    ,82024.56860547682 ,81356.975
2025-03-13 23:13:01 ,146.8240922700001      ,140.81431089999896    ,199.31319228999934    ,82023.91762508466 ,81332.195
2025-03-13 23:14:02 ,141.88144858000015     ,151.10489676999893    ,201.2563127199993     ,82024.8078211631  ,81346.53
2025-03-13 23:15:02 ,155.05814988999995     ,149.65844779999873    ,194.19145943999882    ,82024.43135057486 ,81338.04
2025-03-13 23:16:02 ,128.79185035000012     ,140.8201256299989     ,191.6217784999991     ,82021.14507606506 ,81264.125
2025-03-13 23:17:01 ,132.2310306299999      ,144.24152469999862    ,193.0121944599988     ,82021.14899763369 ,81226.555
2025-03-13 23:18:01 ,141.58051056000014     ,151.37107824999887    ,199.05976385999833    ,82021.1646839082  ,81259.855
2025-03-13 23:19:02 ,127.4246934400002      ,142.75625284999904    ,187.433273619999      ,82023.70586037879 ,81320.915
2025-03-13 23:20:02 ,139.57797258999994     ,151.1247524499987     ,201.81078958999888    ,82020.13331135917 ,81251.085
2025-03-13 23:21:02 ,150.6303949200001      ,163.30271018999875    ,211.96999433999878    ,82017.74899763368 ,81175.135
2025-03-13 23:22:04 ,103.56406723999973     ,152.41530508999855    ,165.24343161999838    ,82016.86272312388 ,81153.485
2025-03-13 23:23:01 ,104.82359204999995     ,156.7888507699988     ,166.71500688999862    ,82017.16860547682 ,81153.435
2025-03-13 23:24:02 ,87.33344919999996      ,103.06127208999874    ,143.21228938999872    ,82018.52938979055 ,81196.325
2025-03-13 23:25:02 ,97.37039459999983      ,150.9021637099986     ,161.33346260999843    ,82016.97252704545 ,81150.005
2025-03-13 23:26:02 ,95.69724856999986      ,145.3432100699987     ,161.85806368999874    ,82016.79605645721 ,81167.145
